Exp,Part,Stim,time,xL,yL,xL_pro,yL_pro,xR,yR,xR_pro,yR_pro,xF,yF,xF_pro,yF_pro
DemoMS,1765822692,92manipulated2.jpg,1765822805.8601458,39.78025896653287,154.09514146080562,0.04420028774059208,0.17121682384533957,414.00398461598354,365.58927890595794,0.4600044273510928,0.4062103098955088,226.8921217912582,259.8422101833818,0.2521023575458424,0.2887135668704242
DemoMS,1765822692,92manipulated2.jpg,1765822805.962327,42.38501753064031,150.76419738999527,0.04709446392293368,0.16751577487777253,435.98888025877807,350.9699570326585,0.48443208917642006,0.3899666189251761,239.1869488947092,250.8670772113269,0.26576327654967685,0.2787411969014743
DemoMS,1765822692,92manipulated2.jpg,1765822806.061131,51.703294673987216,126.83070743553515,0.05744810519331913,0.14092300826170573,438.4467535110181,356.34560755573705,0.48716305945668675,0.3959395639508189,245.07502409250264,241.5881574956361,0.27230558232500296,0.2684312861062623
DemoMS,1765822692,92manipulated2.jpg,1765822806.159654,46.36708488372676,59.78035793981587,0.05151898320414085,0.06642261993312874,398.50150795808224,381.55634668227424,0.44277945328675805,0.42395149631363804,222.4342964209045,220.66835231104506,0.24714921824544944,0.2451870581233834
DemoMS,1765822692,92manipulated2.jpg,1765822806.2594812,13.830689696406694,-69.16918994519631,0.015367432996007437,-0.07685465549466257,345.5157823340061,421.42462472932993,0.3839064248155623,0.4682495830325888,179.67323601520638,176.1277173920668,0.19963692890578488,0.19569746376896313
DemoMS,1765822692,92manipulated2.jpg,1765822806.3581598,-4.573458023131593,-192.819532726871,-0.00508162002570177,-0.2142439252520789,299.8487208354255,456.65470748610676,0.33316524537269504,0.5073941194290075,147.63763140614697,131.91758737961788,0.16404181267349663,0.1465750970884643
DemoMS,1765822692,92manipulated2.jpg,1765822806.457265,-38.85658142019963,-339.89798641525897,-0.04317397935577737,-0.37766442935028777,260.4553760510486,485.95213453436156,0.28939486227894284,0.5399468161492906,110.79939731542447,73.0270740595513,0.12311044146158275,0.08114119339950145
DemoMS,1765822692,92manipulated2.jpg,1765822806.556113,-48.27164393710234,-373.1239586808748,-0.05363515993011371,-0.4145821763120831,259.87256245364244,491.749092451735,0.2887472916151583,0.5463878805019278,105.80045925827005,59.3125668854301,0.11755606584252228,0.06590285209492233
DemoMS,1765822692,92manipulated2.jpg,1765822806.6551838,-54.6597873018153,-387.3687268434488,-0.060733097002017,-0.43040969649272093,265.1457538637052,485.5367045068921,0.29460639318189463,0.5394852272298801,105.24298328094494,49.083988831721626,0.11693664808993882,0.054537765368579585
DemoMS,1765822692,92manipulated2.jpg,1765822806.786527,-59.12339830195344,-444.8475028960653,-0.06569266477994827,-0.49427500321785034,258.2497922084732,488.65839700302956,0.28694421356497024,0.5429537744478107,99.56319695325988,21.905447053482135,0.11062577439251098,0.024339385614980148
