t_pc,t_mcu_ms,gx_raw,gy_raw,gz_raw
1771261121.530545,6894,0.0219911,-0.0334449,-0.00916297
1771261121.531024,6908,0.0261145,-0.033903,-0.00977384
1771261121.531369,6922,0.025809,-0.0299324,-0.0129809
1771261121.531657,6936,0.0222966,-0.0293215,-0.0164934
1771261121.531918,6950,0.0245873,-0.031765,-0.0146608
1771261121.532188,6964,0.0267254,-0.0322231,-0.0137445
1771261121.532476,6978,0.0253509,-0.0316123,-0.0120646
1771261121.5327518,6992,0.0230602,-0.0319177,-0.00870483
1771261121.53302,7005,0.025809,-0.0316123,-0.00626137
1771261121.533277,7020,0.0250455,-0.029627,-0.0146608
1771261121.533519,7034,0.0221439,-0.0280998,-0.0140499
1771261121.533748,7047,0.021533,-0.0335976,-0.00809396
1771261121.5339782,7062,0.0264199,-0.0323759,-0.0125227
1771261121.5342221,7076,0.0245873,-0.0319177,-0.0129809
1771261121.534451,7089,0.0235183,-0.0302378,-0.0119119
1771261121.534684,7103,0.0265726,-0.032834,-0.0128282
1771261121.534936,7118,0.0267254,-0.0314596,-0.0120646
1771261121.53518,7131,0.0218384,-0.0319177,-0.00885754
1771261121.535403,7145,0.0218384,-0.0332921,-0.010232
1771261121.535635,7160,0.0242819,-0.0352775,-0.014508
1771261121.535881,7173,0.0232129,-0.0319177,-0.0167988
1771261121.536108,7187,0.0219911,-0.0302378,-0.0157298
1771261121.536337,7202,0.0267254,-0.0345139,-0.0186314
1771261121.536572,7215,0.0270308,-0.0303905,-0.0148135
1771261121.5368042,7229,0.0233656,-0.0302378,-0.00809396
1771261121.537036,7244,0.0235183,-0.0334449,-0.00687223
1771261121.537245,7257,0.0262672,-0.0331394,-0.00534507
1771261121.537434,7274,0.023671,-0.0340557,-0.0140499
1771261121.537627,7288,0.0227547,-0.0323759,-0.0164934
1771261121.5378199,7302,0.0265726,-0.0334449,-0.0172569
1771261121.538014,7316,0.0276416,-0.0323759,-0.0174097
1771261121.538202,7330,0.0227547,-0.030696,-0.0137445
1771261121.538396,7343,0.0248928,-0.031765,-0.00931569
1771261121.538589,7358,0.0265726,-0.0343612,-0.0117592
1771261121.538777,7372,0.023671,-0.0329867,-0.0129809
