Exp,Part,Stim,time,xL,yL,xL_pro,yL_pro,xR,yR,xR_pro,yR_pro,xF,yF,xF_pro,yF_pro
DemoMS,1770561818,75.jpg,1770561886.205067,600.5226273102137,-470.3816218974034,0.6672473636780152,-0.5226462465526704,-157.55368502065107,956.3066826263484,-0.17505965002294563,1.0625629806959427,221.4844711447813,242.9625303644725,0.2460938568275348,0.2699583670716361
DemoMS,1770561818,75.jpg,1770561886.306108,601.4805738780535,-481.277552409877,0.6683117487533928,-0.5347528360109745,-154.96207569490002,951.9136683659208,-0.17218008410544447,1.057681853739912,223.25924909157675,235.3180579780219,0.24806583232397417,0.26146450886446876
DemoMS,1770561818,75.jpg,1770561886.371729,619.2332083728427,-515.7181596346645,0.6880368981920474,-0.5730201773718495,-149.85807805778882,927.6947176902113,-0.16650897561976535,1.0307719085446791,234.68756515752693,205.9882790277734,0.26076396128614104,0.22887586558641487
DemoMS,1770561818,75.jpg,1770561886.437541,606.0261473032035,-475.3151767998288,0.6733623858924483,-0.5281279742220321,-145.56483014443825,918.0606236644571,-0.16173870016048694,1.0200673596271745,230.23065857938263,221.37272343231416,0.2558118428659807,0.2459696927025713
DemoMS,1770561818,75.jpg,1770561886.601949,598.1191971351266,-454.3225188067163,0.6645768857056962,-0.5048027986741292,-206.2318546996355,988.4529080489092,-0.22914650522181723,1.0982810089432324,195.94367121774553,267.06519462109645,0.21771519024193947,0.2967391051345516
DemoMS,1770561818,75.jpg,1770561886.734913,580.8041253177264,-512.8641242158856,0.645337917019696,-0.5698490269065395,-201.31614563307653,943.3392058359923,-0.22368460625897393,1.0481546731511024,189.74398984232494,215.23754081005336,0.21082665538036105,0.2391528231222815
DemoMS,1770561818,75.jpg,1770561886.900269,593.2739264853092,-540.2783800907428,0.6591932516503435,-0.6003093112119364,-199.17358142885064,943.4569674174681,-0.2213039793653896,1.0482855193527423,197.05017252822927,201.5892936633627,0.21894463614247697,0.22398810407040298
DemoMS,1770561818,75.jpg,1770561887.031442,634.6029999038813,-578.6907695467462,0.7051144443376458,-0.6429897439408291,-180.11427875096456,917.7769676607286,-0.20012697638996063,1.0197521862896983,227.24436057645835,169.5430990569912,0.2524937339738426,0.18838122117443465
DemoMS,1770561818,75.jpg,1770561887.130891,616.743123076599,-544.0110860762989,0.6852701367517766,-0.6044567623069987,-187.47393039429176,952.948782971157,-0.20830436710476863,1.0588319810790634,214.6345963411536,204.46884844742908,0.23848288482350402,0.2271876093860323
DemoMS,1770561818,75.jpg,1770561887.19634,583.4389691876252,-476.8454951398644,0.6482655213195835,-0.5298283279331827,-187.79154483976458,950.2254838925883,-0.20865727204418286,1.055806093213987,197.8237121739303,236.68999437636194,0.21980412463770033,0.26298888264040216
DemoMS,1770561818,75.jpg,1770561887.263,581.131122642176,-472.30683381471044,0.6457012473801956,-0.5247853709052338,-192.7097595607995,988.6453848542524,-0.21412195506755502,1.0984948720602805,194.21068154068826,258.16927551977096,0.2157896461563203,0.2868547505775233
DemoMS,1770561818,75.jpg,1770561887.42742,575.2356726709525,-461.03788852119123,0.6391507474121694,-0.5122643205791013,-189.30596274842833,968.1646219690092,-0.2103399586093648,1.0757384688544547,192.96485496126206,253.56336672390898,0.2144053944014023,0.2817370741376766
DemoMS,1770561818,75.jpg,1770561887.560135,577.5926603990913,-464.9602936330275,0.641769622665657,-0.5166225484811416,-245.8705409211127,1079.7327309888506,-0.2731894899123474,1.1997030344320563,165.8610597389893,307.38621867791153,0.18429006637665477,0.34154024297545726
DemoMS,1770561818,75.jpg,1770561887.7243588,440.9087438010513,-457.8602612550467,0.4898986042233903,-0.5087336236167186,-310.00741528895674,957.6565244820367,-0.34445268365439635,1.064062804980041,65.45066425604728,249.89813161349502,0.07272296028449697,0.27766459068166116
DemoMS,1770561818,75.jpg,1770561887.790803,495.96007504399427,-487.18028575940934,0.5510667500488825,-0.5413114286215659,-182.496907877088,893.9033817017817,-0.20277434208565334,0.9932259796686462,156.73158358345313,203.36154797118616,0.1741462039816146,0.22595727552354017
DemoMS,1770561818,75.jpg,1770561887.85709,708.871871966968,-727.3030849302095,0.7876354132966311,-0.8081145388113439,-173.3191353793893,864.6852468299012,-0.19257681708821034,0.9607613853665569,267.77636829378935,68.69108094984585,0.29752929810421036,0.07632342327760651
