Exp,Part,Stim,time,xL,yL,xL_pro,yL_pro,xR,yR,xR_pro,yR_pro,xF,yF,xF_pro,yF_pro
DemoMS,1771277650,37.jpg,1771277745.3627362,821.5586596900562,160.25343225408506,0.9128429552111735,0.17805936917120563,-324.570381940232,41.68006237213922,-0.36063375771136885,0.04631118041348802,248.4941388749121,100.96674731311214,0.27610459874990234,0.11218527479234681
DemoMS,1771277650,37.jpg,1771277745.560647,792.2710032871778,131.4414419707109,0.8803011147635309,0.14604604663412324,-231.91287189843706,-51.5166403392941,-0.2576809687760412,-0.057240711488104556,280.17906569437037,39.962400815708406,0.31131007299374486,0.04440266757300934
DemoMS,1771277650,37.jpg,1771277745.758614,756.6999280345431,82.95839561504908,0.840777697816159,0.09217599512783231,-326.18744599919364,-32.497570580087086,-0.3624304955546596,-0.03610841175565232,215.2562410176747,25.230412517481,0.23917360113074967,0.02803379168609
DemoMS,1771277650,37.jpg,1771277745.9573262,258.0598734389264,-3.5224420907115928,0.2867331927099182,-0.003913824545235103,-1524.362610086248,1201.6617971661362,-1.6937362334291644,1.3351797746290404,-633.1513683236608,599.0696775377123,-0.7035015203596231,0.6656329750419026
DemoMS,1771277650,37.jpg,1771277746.055785,239.05145562244934,81.45685787828279,0.26561272846938816,0.09050761986475865,-1561.9802241276707,1310.5419843212976,-1.7355335823640785,1.4561577603569973,-661.4643842526107,695.9994210997902,-0.7349604269473452,0.773332690110878
DemoMS,1771277650,37.jpg,1771277746.152643,222.12212677695197,111.60164863425871,0.24680236308550219,0.12400183181584301,-1574.0178120065852,1341.6756030075508,-1.748908680007317,1.4907506700083897,-675.9478426148166,726.6386258209047,-0.7510531584609074,0.8073762509121164
DemoMS,1771277650,37.jpg,1771277746.254197,230.130013771402,140.33770194783847,0.2557000153015578,0.15593077994204274,-1580.7841544521866,1370.5928201247207,-1.7564268382802073,1.5228809112496897,-675.3270703403923,755.4652610362796,-0.7503634114893248,0.8394058455958662
DemoMS,1771277650,37.jpg,1771277746.352631,228.52487933108068,157.37089028967966,0.25391653259008967,0.17485654476631074,-1608.5470542472626,1444.260550728508,-1.7872745047191807,1.6047339452538978,-690.011087458091,800.8157205090938,-0.7666789860645455,0.8897952450101042
DemoMS,1771277650,37.jpg,1771277746.4517682,230.15788919050783,184.66867833640208,0.25573098798945315,0.2051874203737801,-1595.4021088674676,1459.0107908066066,-1.7726690098527418,1.6211231008962295,-682.6221098384799,821.8397345715043,-0.7584690109316443,0.9131552606350049
DemoMS,1771277650,37.jpg,1771277746.550101,233.4793342802691,200.5316009350945,0.25942148253363234,0.22281288992788278,-1601.657080154339,1487.6645857055437,-1.7796189779492655,1.6529606507839374,-684.0888729370349,844.0980933203191,-0.7600987477078166,0.9378867703559101
DemoMS,1771277650,37.jpg,1771277746.681696,244.109553014398,214.82093886600978,0.27123283668266446,0.2386899320733442,-1606.087242808237,1522.9056323321356,-1.7845413808980413,1.6921173692579285,-680.9888448969195,868.8632855990727,-0.7566542721076884,0.9654036506656364
DemoMS,1771277650,37.jpg,1771277746.879754,250.60700874440545,236.17480383609382,0.27845223193822827,0.2624164487067709,-1600.341652354617,1537.5172847178837,-1.77815739150513,1.7083525385754263,-674.8673218051058,886.8460442769888,-0.7498525797834509,0.9853844936410986
DemoMS,1771277650,37.jpg,1771277747.078229,254.1249610374266,247.70930016356579,0.2823610678193629,0.2752325557372953,-1581.6007693627203,1541.8760070979583,-1.7573341881808002,1.7131955634421758,-663.7379041626468,894.7926536307621,-0.7374865601807187,0.9942140595897356
DemoMS,1771277650,37.jpg,1771277747.2758489,288.84932480253565,249.49194092596372,0.3209436942250396,0.27721326769551524,-1499.1274156222057,1460.4206479719965,-1.6656971284691175,1.6226896088577738,-605.139045409835,854.9562944489801,-0.672376717122039,0.9499514382766445
DemoMS,1771277650,37.jpg,1771277747.4744651,287.5021058723637,253.51034762219842,0.31944678430262635,0.2816781640246649,-1556.3211483426126,1550.63964406766,-1.7292457203806806,1.7229329378529554,-634.4095212351244,902.0749958449292,-0.7048994680390271,1.0023055509388101
DemoMS,1771277650,37.jpg,1771277747.671926,264.4473324706273,263.46712435278823,0.2938303694118081,0.2927412492808758,-1575.7123562414495,1610.1002876352513,-1.7507915069349438,1.7890003195947237,-655.6325118854111,936.7837059940198,-0.7284805687615679,1.0408707844377998
DemoMS,1771277650,37.jpg,1771277747.869855,265.1853628072663,272.27271061292777,0.2946504031191848,0.3025252340143642,-1552.1706502121547,1615.0152592747113,-1.724634055791283,1.7944613991941236,-643.4926437024442,943.6439849438195,-0.7149918263360491,1.0484933166042438
DemoMS,1771277650,37.jpg,1771277748.068794,267.8988963660445,278.1734150354523,0.2976654404067161,0.3090815722616137,-1556.9846234487136,1632.2789013138367,-1.729982914943015,1.8136432236820408,-644.5428635413346,955.2261581746445,-0.7161587372681495,1.0613623979718272
DemoMS,1771277650,37.jpg,1771277748.266439,274.5178126260639,273.2238838753028,0.30501979180673766,0.3035820931947809,-1560.3997912532518,1641.404640422466,-1.7337775458369464,1.82378293380274,-642.940989313594,957.3142621488844,-0.7143788770151044,1.0636825134987604
DemoMS,1771277650,34manipulated3.jpg,1771277751.1696799,939.5957761417089,-144.4071645876511,1.043995306824121,-0.16045240509739012,-0.02268492853772841,-246.5720512807411,-2.5205476153031568e-05,-0.2739689458674901,469.7865456065856,-195.4896079341961,0.521985050673984,-0.2172106754824401
DemoMS,1771277650,34manipulated3.jpg,1771277751.368612,956.1836611022522,-155.04952833757034,1.0624262901136137,-0.1722772537084115,97.79818846831813,-329.8073192293323,0.10866465385368682,-0.3664525769214803,526.9909247852852,-242.4284237834513,0.5855454719836503,-0.2693649153149459
DemoMS,1771277650,34manipulated3.jpg,1771277751.565859,903.5410255726861,-227.84450734409984,1.00393447285854,-0.2531605637156665,78.61223398944412,-348.4086304369421,0.08734692665493791,-0.3871207004854912,491.0766297810651,-288.12656889052096,0.545640699756739,-0.32014063210057886
DemoMS,1771277650,34manipulated3.jpg,1771277751.7638478,887.1276753099642,-197.58397581847566,0.9856974170110713,-0.2195377509094174,59.85497146652824,-336.23798722709034,0.06650552385169804,-0.37359776358565594,473.4913233882462,-266.910981522783,0.5261014704313847,-0.29656775724753665
DemoMS,1771277650,34manipulated3.jpg,1771277751.962249,893.1909227948022,-184.28442452364015,0.9924343586608914,-0.20476047169293352,90.33237550091098,-365.3856850710281,0.10036930611212332,-0.40598409452336454,491.7616491478566,-274.8350547973341,0.5464018323865073,-0.305372283108149
DemoMS,1771277650,34manipulated3.jpg,1771277752.160618,908.4567143078943,-174.29383424026673,1.0093963492309936,-0.1936598158225186,134.12846153250257,-346.88396944777014,0.14903162392500285,-0.3854266327197446,521.2925879201985,-260.58890184401844,0.5792139865779983,-0.2895432242711316
DemoMS,1771277650,34manipulated3.jpg,1771277752.358617,955.6523525131838,-178.8953038743066,1.0618359472368708,-0.19877255986034065,100.20073735831602,-289.9758997922454,0.11133415262035114,-0.322195444213606,527.9265449357499,-234.435601833276,0.586585049928611,-0.2604840020369733
DemoMS,1771277650,34manipulated3.jpg,1771277752.5564559,972.3645157246542,-244.70286995189508,1.080405017471838,-0.2718920777243279,100.02372173024241,-275.9034065604337,0.11113746858915824,-0.3065593406227041,536.1941187274483,-260.3031382561644,0.5957712430304981,-0.289225709173516
DemoMS,1771277650,34manipulated3.jpg,1771277752.655295,970.6041154756499,-247.67961458479567,1.0784490171951666,-0.27519957176088405,78.94546601943375,-312.6407463223659,0.0877171844660375,-0.34737860702485096,524.7747907475418,-280.1601804535808,0.583083100830602,-0.31128908939286754
DemoMS,1771277650,34manipulated3.jpg,1771277752.754299,909.7244662325334,-192.94857615336423,1.0108049624805926,-0.21438730683707136,55.17331497858004,-324.4670348469044,0.061303683309533376,-0.36051892760767157,482.4488906055567,-258.7078055001343,0.536054322895063,-0.2874531172223715
DemoMS,1771277650,34manipulated3.jpg,1771277752.853149,899.7117550487378,-193.66377826846292,0.9996797278319309,-0.21518197585384768,70.45706891049713,-324.3852928184515,0.07828563212277459,-0.3604281031316128,485.08441197961747,-259.0245355434572,0.5389826799773527,-0.28780503949273023
DemoMS,1771277650,34manipulated3.jpg,1771277752.95228,902.3421197535249,-193.3303445887923,1.0026023552816943,-0.21481149398754698,69.56561675162493,-326.1881282447648,0.0772951297240277,-0.3624312536052942,485.9538682525749,-259.75923641677855,0.5399487425028611,-0.2886213737964206
DemoMS,1771277650,34manipulated3.jpg,1771277753.051907,900.4078182005401,-193.61478666718176,1.0004531313339333,-0.21512754074131307,69.75880112333516,-319.550047595445,0.07750977902592796,-0.35505560843938333,485.0833096619376,-256.5824171313134,0.5389814551799307,-0.2850915745903482
DemoMS,1771277650,34manipulated3.jpg,1771277753.1503282,913.4847722788068,-173.78206105640675,1.0149830803097852,-0.19309117895156305,96.01835265772797,-341.1454556842873,0.10668705850858663,-0.3790505063158748,504.75156246826737,-257.463758370347,0.5608350694091859,-0.2860708426337189
DemoMS,1771277650,34manipulated3.jpg,1771277753.2490828,920.8233159931219,-172.47595202488537,1.0231370177701355,-0.19163994669431708,99.7199712061306,-334.4801568650828,0.11079996800681177,-0.37164461873898086,510.27164359962626,-253.47805444498408,0.5669684928884736,-0.281642282716649
DemoMS,1771277650,34manipulated3.jpg,1771277753.380521,921.4876094645647,-165.81438876238008,1.023875121627294,-0.18423820973597788,94.70879117063078,-335.23222705577973,0.10523199018958974,-0.3724802522841997,508.09820031759773,-250.5233079090799,0.5645535559084419,-0.2783592310100888
DemoMS,1771277650,34manipulated3.jpg,1771277753.578945,912.8655490537071,-196.8097221820217,1.014295054504119,-0.2186774690911352,87.27237234363247,-355.17061401227147,0.09696930260403608,-0.39463401556919053,500.0689606986698,-275.9901680971466,0.5556321785540775,-0.30665574233016285
