Exp,Part,Stim,time,xL,yL,xL_pro,yL_pro,xR,yR,xR_pro,yR_pro,xF,yF,xF_pro,yF_pro
DemoMS,1771282578,29.jpg,1771282608.216694,225.48308689015784,-223.55743604103463,0.2505367632112865,-0.24839715115670516,352.9866746131925,-43.819750128651776,0.3922074162368806,-0.04868861125405753,289.2348807516752,-133.6885930848432,0.32137208972408354,-0.14854288120538134
DemoMS,1771282578,29.jpg,1771282608.4141598,294.44818299059006,-400.414138489944,0.3271646477673223,-0.44490459832216,387.3543172670489,-90.66178168775605,0.43039368585227655,-0.10073531298639561,340.90125012881947,-245.53796008885,0.3787791668097994,-0.2728199556542778
DemoMS,1771282578,29.jpg,1771282608.612267,326.3214590913753,-385.56487125565536,0.36257939899041697,-0.4284054125062837,381.55263273429415,-92.8718124043503,0.42394736970477126,-0.10319090267150033,353.9370459128347,-239.21834183000283,0.3932633843475941,-0.265798157588892
DemoMS,1771282578,29.jpg,1771282608.810705,128.64344781997482,28.691018038900893,0.14293716424441646,0.0318789089321121,163.25253782291026,473.18894432205116,0.1813917086921225,0.525765493691168,145.94799282144254,250.93998118047602,0.1621644364682695,0.27882220131164004
DemoMS,1771282578,29.jpg,1771282609.00803,77.35372925040082,-348.79561804684636,0.0859485880560009,-0.3875506867187182,159.06262251100685,-218.2493694595205,0.17673624723445205,-0.2424992993994672,118.20817588070383,-283.5224937531834,0.13134241764522647,-0.3150249930590927
DemoMS,1771282578,29.jpg,1771282609.206778,76.19279527815445,-522.2092204200871,0.08465866142017162,-0.5802324671334301,151.51476333669785,-264.3879111105107,0.16834973704077538,-0.2937643456783452,113.85377930742615,-393.2985657652989,0.1265041992304735,-0.43699840640588766
DemoMS,1771282578,29.jpg,1771282609.4039218,88.23671332811028,-555.8318795182399,0.0980407925867892,-0.6175909772424888,161.46771114146628,-297.2161001279783,0.17940856793496254,-0.3302401112533092,124.85221223478828,-426.5239898231091,0.13872468026087587,-0.473915544247899
DemoMS,1771282578,29.jpg,1771282609.601703,300.9291422566982,-497.2714307220831,0.33436571361855355,-0.5525238119134257,359.85527472388463,-140.77273884042734,0.39983919413764957,-0.15641415426714148,330.3922084902914,-319.0220847812552,0.3671024538781016,-0.3544689830902836
DemoMS,1771282578,29.jpg,1771282609.799295,136.47426853833423,-529.2997265999493,0.1516380761537047,-0.588110807333277,152.26819519647694,-288.89990590111165,0.16918688355164105,-0.32099989544567964,144.37123186740558,-409.09981625053047,0.16041247985267287,-0.4545553513894783
DemoMS,1771282578,29.jpg,1771282609.99878,96.7754161792817,-588.6996174928095,0.1075282401992019,-0.6541106861031216,156.39348993524214,-315.99846931232605,0.17377054437249126,-0.35110941034702897,126.58445305726192,-452.34904340256776,0.14064939228584658,-0.5026100482250753
DemoMS,1771282578,29.jpg,1771282610.19595,325.18692962903987,-455.3789224060788,0.3613188106989332,-0.5059765804511986,371.5663455276295,-155.99019651479375,0.41285149503069946,-0.17332244057199306,348.3766375783347,-305.6845594604363,0.3870851528648163,-0.33964951051159586
DemoMS,1771282578,29.jpg,1771282610.3945,303.71579646523304,-412.7881899629747,0.3374619960724812,-0.4586535444033052,347.7061610221795,-131.10806964958783,0.3863401789135328,-0.14567563294398647,325.7109787437063,-271.94812980628126,0.361901087493007,-0.3021645886736458
DemoMS,1771282578,29.jpg,1771282610.5928981,295.85200906733866,-411.5443167272765,0.3287244545192652,-0.45727146303030725,350.7711157297104,-133.33407099001806,0.3897456841441227,-0.14814896776668673,323.31156239852453,-272.4391938586473,0.3592350693316939,-0.30271021539849696
DemoMS,1771282578,29.jpg,1771282610.692139,296.55864467645523,-419.00229272507613,0.3295096051960614,-0.4655581030278624,352.9853666666764,-127.73135540246176,0.3922059629629738,-0.1419237282249575,324.7720056715658,-273.36682406376895,0.3608577840795176,-0.3037409156264099
DemoMS,1771282578,29.jpg,1771282610.790024,297.42118227056386,-416.0154137552904,0.3304679803006265,-0.46223934861698934,345.97429655715183,-135.1407312283959,0.38441588506350205,-0.150156368031551,321.69773941385785,-275.57807249184316,0.35744193268206426,-0.30619785832427016
DemoMS,1771282578,29.jpg,1771282610.888893,290.2417225376175,-411.57736717605167,0.322490802819575,-0.4573081857511685,350.4164086373963,-129.71645212548265,0.3893515651526625,-0.14412939125053628,320.3290655875069,-270.64690965076716,0.35592118398611877,-0.3007187885008524
DemoMS,1771282578,29.jpg,1771282610.988799,291.2802510776399,-411.0127430370476,0.3236447234195999,-0.4566808255967195,348.6977861830706,-124.88598103197273,0.38744198464785623,-0.13876220114663637,319.98901863035525,-267.94936203451016,0.35554335403372805,-0.29772151337167796
DemoMS,1771282578,29.jpg,1771282611.120397,292.9387376736601,-421.74229024593615,0.3254874863040668,-0.46860254471770685,350.5244951371497,-128.27644598820598,0.3894716612634997,-0.14252938443133997,321.7316164054049,-275.00936811707106,0.35747957378378326,-0.3055659645745234
