Exp,Part,Stim,time,xL,yL,xL_pro,yL_pro,xR,yR,xR_pro,yR_pro,xF,yF,xF_pro,yF_pro
DemoMS,1770561162,35.jpg,1770561282.1179898,-2934.1894743921166,2570.41687102192,-3.260210527102352,2.8560187455799113,3352.742790605871,-2115.203435670919,3.725269767339857,-2.3502260396343546,209.27665810687722,227.60671767550048,0.23252962011875247,0.2528963529727783
DemoMS,1770561162,35.jpg,1770561282.2498481,-2931.5577294824343,2582.4435908048436,-3.2572863660915936,2.869381767560937,3317.539354049766,-2102.9757405145465,3.6861548378330737,-2.3366397116828295,192.99081228366595,239.73392514514853,0.21443423587073995,0.26637102793905393
DemoMS,1770561162,35.jpg,1770561282.4479208,-2340.2176493374955,2091.5625036147903,-2.600241832597217,2.323958337349767,3197.8195381336027,-2076.8378603171186,3.5531328201484476,-2.3075976225745762,428.8009443980536,7.362321648835859,0.4764454937756151,0.0081803573875954
DemoMS,1770561162,35.jpg,1770561282.64563,-2292.1257382718995,2055.711636827178,-2.546806375857666,2.284124040919087,3225.8936039827986,-2082.4718918839653,3.584326226647554,-2.3138576576488505,466.88393285544953,-13.380127528393587,0.518759925394944,-0.014866808364881762
DemoMS,1770561162,35.jpg,1770561282.8436859,-2119.5819480894224,1948.7152543422817,-2.3550910534326914,2.1652391714914243,3233.3351430926887,-2082.9173177338153,3.5925946034363205,-2.314352575259795,556.8765975016331,-67.10103169576678,0.6187517750018146,-0.07455670188418531
DemoMS,1770561162,35.jpg,1770561283.041905,-2247.6523054182308,2059.0120494880503,-2.497391450464701,2.2877911660978336,3233.5813196406507,-2088.6361581518313,3.5928681329340564,-2.3207068423909236,492.96450711120997,-14.812054331890522,0.5477383412346778,-0.016457838146545025
DemoMS,1770561162,35.jpg,1770561283.2396579,-2146.9591283833743,2003.3203684672444,-2.3855101426481937,2.2259115205191606,3244.002547894348,-2088.781383142814,3.6044472754381647,-2.3208682034920156,548.5217097554869,-42.73050733778473,0.6094685663949855,-0.047478341486427475
DemoMS,1770561162,35.jpg,1770561283.437383,-2042.4438949929117,1924.255869223849,-2.2693821055476797,2.138062076915388,3248.1822422292917,-2079.562192511683,3.6090913802547684,-2.3106246583463146,602.86917361819,-77.65316164391697,0.6698546373535444,-0.08628129071546331
DemoMS,1770561162,35.jpg,1770561283.6353762,-2110.146222208563,1945.7620878995986,-2.34460691356507,2.1619578754439983,3247.7684304063896,-2084.356222822312,3.608631589340433,-2.3159513586914575,568.8111040989133,-69.29706746135662,0.6320123378876815,-0.07699674162372958
DemoMS,1770561162,35.jpg,1770561283.834303,-2107.6455875710326,1970.090076284443,-2.3418284306344805,2.1889889736493813,3255.435373510034,-2090.078485073451,3.6171504150111486,-2.32230942785939,573.8948929695007,-59.99420439450387,0.637660992188334,-0.0666602271050043
DemoMS,1770561162,35.jpg,1770561284.031872,-2317.7260418677015,2106.289697432985,-2.5752511576307793,2.34032188603665,3236.369475406058,-2099.7692466454555,3.595966083784509,-2.3330769407171728,459.32171676917824,3.260225393764813,0.5103574630768647,0.003622472659738681
DemoMS,1770561162,35.jpg,1770561284.2306418,-2219.298998070508,2041.7597305465679,-2.4658877756338975,2.26862192282952,3276.502657268771,-2098.798144840657,3.6405585080764125,-2.3319979387118415,528.6018295991316,-28.519207147044654,0.5873353662212574,-0.03168800794116072
DemoMS,1770561162,35.jpg,1770561284.428656,-2180.102790067942,2023.0404693348355,-2.4223364334088244,2.2478227437053726,3285.515182994637,-2111.9293060374566,3.650572425549597,-2.346588117819396,552.7061964633476,-44.44441835131056,0.6141179960703862,-0.04938268705701173
DemoMS,1770561162,35.jpg,1770561284.625956,-2046.824342073296,1902.0889385103692,-2.274249268970329,2.11343215390041,3243.126733664638,-2097.2049568820667,3.6034741485162645,-2.330227729868963,598.1511957956709,-97.55800918584873,0.6646124397729677,-0.10839778798427636
DemoMS,1770561162,35.jpg,1770561284.8250911,-1990.3019113723694,1878.0270807263878,-2.2114465681915214,2.0866967563626533,3285.463871879034,-2107.600342527231,3.6505154131989266,-2.34177815836359,647.5809802533322,-114.78663090042164,0.7195344225037025,-0.1275407010004685
DemoMS,1770561162,35.jpg,1770561284.923119,-2100.216287896781,1976.5300525538114,-2.3335736532186457,2.1961445028375683,3248.753539328298,-2104.4775425287226,3.60972615480922,-2.3383083805874696,574.2686257157584,-63.973744987455575,0.6380762507952871,-0.07108193887495064
DemoMS,1770561162,35.jpg,1770561285.0229802,-2111.852082537085,1960.3740668107748,-2.3465023139300945,2.1781934075675276,3280.3375320506293,-2103.2011719122156,3.644819480056255,-2.336890191013573,584.2427247567721,-71.4135525507204,0.64915858306308,-0.07934839172302266
DemoMS,1770561162,35.jpg,1770561285.122715,-2067.255018010348,1936.0430412862297,-2.296950020011498,2.1511589347624773,3290.0852394331487,-2126.821670495143,3.6556502660368317,-2.3631351894390478,611.4151107114003,-95.38931460445656,0.679350123012667,-0.10598812733828507
