Exp,Part,Stim,time,xL,yL,xL_pro,yL_pro,xR,yR,xR_pro,yR_pro,xF,yF,xF_pro,yF_pro
DemoMS,1770562251,27.jpg,1770562290.837853,119.95971132364298,172.13947750288935,0.13328856813738107,0.1912660861143215,335.0927404621682,250.43850325580024,0.3723252671801869,0.27826500361755585,227.5262258929056,211.2889903793448,0.252806917658784,0.23476554486593867
DemoMS,1770562251,27.jpg,1770562290.938721,122.8241847851184,167.8584379243839,0.13647131642790933,0.18650937547153768,358.67604600705204,289.8396842993661,0.3985289400078356,0.32204409366596237,240.75011539608522,228.84906111187502,0.26750012821787245,0.25427673456875
DemoMS,1770562251,27.jpg,1770562291.037597,174.32620007819946,218.11359848956636,0.19369577786466607,0.24234844276618484,373.9004134389477,344.75759602089056,0.415444903821053,0.3830639955787673,274.1133067585736,281.43559725522846,0.3045703408428595,0.31270621917247604
DemoMS,1770562251,27.jpg,1770562291.168991,223.38024020253374,269.2753798695521,0.24820026689170416,0.29919486652172456,381.0501085953272,347.5470674908229,0.4233890095503635,0.38616340832313656,302.21517439893046,308.4112236801875,0.33579463822103384,0.34267913742243056
DemoMS,1770562251,27.jpg,1770562291.367518,179.205078843215,217.68292306272997,0.1991167542702389,0.2418699145141444,367.6585254058466,327.0846426008211,0.4085094726731629,0.363427380667579,273.4318021245308,272.38378283177553,0.30381311347170087,0.3026486475908617
DemoMS,1770562251,27.jpg,1770562291.5651882,262.1195294716397,263.16497570122374,0.2912439216351552,0.29240552855691526,443.35271218791945,360.2457051203455,0.49261412465324383,0.4002730056892728,352.73612082977957,311.70534041078463,0.39192902314419953,0.34633926712309404
DemoMS,1770562251,27.jpg,1770562291.7632499,270.69692033923434,241.9209525945662,0.3007743559324826,0.26880105843840685,456.0045041344631,355.5212526258474,0.5066716712605146,0.3950236140287193,363.3507122368487,298.7211026102068,0.4037230135964986,0.3319123362335631
DemoMS,1770562251,27.jpg,1770562291.9609642,255.84992973634667,265.9627989110777,0.28427769970705186,0.29551422101230856,397.1471561384376,340.2598749476874,0.44127461793159733,0.3780665277196527,326.49854293739213,303.11133692938256,0.36277615881932457,0.33679037436598064
DemoMS,1770562251,27.jpg,1770562292.159955,252.34174767910167,298.83049049132023,0.2803797196434463,0.33203387832368914,341.8758811918185,321.6637464337364,0.37986209021313166,0.35740416270415154,297.1088144354601,310.2471184625283,0.330120904928289,0.34471902051392034
DemoMS,1770562251,27.jpg,1770562292.357276,220.89294986307664,269.46524566170774,0.24543661095897404,0.2994058285130086,365.3362533556058,311.0890742581105,0.40592917039511756,0.3456545269534561,293.1146016093412,290.2771599599091,0.3256828906770458,0.32253017773323234
DemoMS,1770562251,27.jpg,1770562292.5561159,225.48104184577255,269.86195292782213,0.2505344909397473,0.2998466143642468,390.8013330276706,339.9261021656166,0.4342237033640784,0.37769566907290736,308.14118743672157,304.89402754671937,0.34237909715191284,0.3387711417185771
DemoMS,1770562251,27.jpg,1770562292.754088,242.26663030908253,277.64022134648985,0.2691851447878695,0.3084891348294332,386.79749235477107,331.6409781807124,0.4297749915053012,0.3684899757563471,314.5320613319268,304.64059976360113,0.34948006814658533,0.33848955529289015
DemoMS,1770562251,27.jpg,1770562292.95201,246.7638230281425,277.6017294395897,0.274182025586825,0.30844636604398856,380.8334023345344,310.0926404723232,0.42314822481614933,0.3445473783025813,313.79861268133845,293.84718495595644,0.3486651252014872,0.32649687217328494
DemoMS,1770562251,27.jpg,1770562293.149309,175.25072074297145,214.99618357244253,0.19472302304774605,0.23888464841382503,373.6510510133014,312.8491985205583,0.4151678344592238,0.3476102205783981,274.45088587813643,263.9226910465004,0.3049454287534849,0.29324743449611157
DemoMS,1770562251,27.jpg,1770562293.3482041,182.4682091279044,220.39109058512622,0.20274245458656046,0.24487898953902915,374.06676375527763,310.4690173921954,0.415629737505864,0.3449655748802171,278.267486441591,265.4300539886608,0.3091860960462122,0.29492228220962313
DemoMS,1770562251,27.jpg,1770562293.545568,175.39926001066647,209.48181620566902,0.1948880666785183,0.23275757356185447,379.9187256291709,307.1590822080725,0.42213191736574546,0.3412878691200806,277.6589928199187,258.32044920687076,0.30850999202213186,0.2870227213409675
DemoMS,1770562251,27.jpg,1770562293.7427468,183.88724736045128,212.97238232902237,0.20431916373383477,0.2366359803655804,362.9116907581713,264.56916900207034,0.40323521195352363,0.2939657433356337,273.3994690593113,238.77077566554635,0.3037771878436792,0.2653008618506071
DemoMS,1770562251,27.jpg,1770562293.842826,178.2416104390702,205.00214585209324,0.1980462338211891,0.22778016205788137,364.21597073429643,267.6141869809617,0.40468441192699606,0.29734909664551296,271.2287905866833,236.30816641652746,0.30136532287409257,0.26256462935169717
