Exp,Part,Stim,time,xL,yL,xL_pro,yL_pro,xR,yR,xR_pro,yR_pro,xF,yF,xF_pro,yF_pro
DemoMS,1771278054,35manipulated3.jpg,1771278124.493361,534.7507318258794,399.08607549486806,0.5941674798065326,0.4434289727720756,-75.09494966421869,61.09874534236587,-0.08343883296024299,0.06788749482485097,229.82789108083034,230.09241041861696,0.2553643234231448,0.2556582337984633
DemoMS,1771278054,35manipulated3.jpg,1771278124.6914828,533.3880934404241,407.92607175804346,0.5926534371560268,0.4532511908422705,4.39781237760792,146.64330096330423,0.004886458197342134,0.16293700107033804,268.892952909016,277.28468636067385,0.29876994767668447,0.30809409595630427
DemoMS,1771278054,35manipulated3.jpg,1771278124.888923,532.8673722253833,434.5034289279256,0.5920748580282037,0.4827815876976951,-34.651729325464544,150.2056469507993,-0.038501921472738385,0.16689516327866588,249.10782144995937,292.35453793936244,0.2767864682777326,0.3248383754881805
DemoMS,1771278054,35manipulated3.jpg,1771278125.086642,501.53561908431936,408.90446354901974,0.5572617989825771,0.45433829283224414,-31.687653506830316,144.5799281164168,-0.03520850389647813,0.16064436457379644,234.92398278874452,276.74219583271827,0.2610266475430495,0.3074913287030203
DemoMS,1771278054,35manipulated3.jpg,1771278125.2861319,499.1262922751213,405.8672570451017,0.5545847691945792,0.45096361893900194,-35.69524946592435,147.03457854164708,-0.0396613882954715,0.16337175393516343,231.71552140459846,276.4509177933744,0.25746169044955386,0.30716768643708264
DemoMS,1771278054,35manipulated3.jpg,1771278125.483265,496.5139530369853,408.59610758132203,0.5516821700410948,0.4539956750903578,-33.24075781982526,169.25295622311796,-0.0369341753553614,0.18805884024790884,231.63659760858002,288.92453190222,0.2573739973428667,0.3210272576691333
DemoMS,1771278054,35manipulated3.jpg,1771278125.681791,485.6053053662332,406.77932424830715,0.5395614504069258,0.4519770269425635,-24.101124505809707,162.87252283218322,-0.026779027228677452,0.18096946981353693,230.75209043021175,284.8259235402452,0.25639121158912415,0.3164732483780502
DemoMS,1771278054,35manipulated3.jpg,1771278125.879688,505.52409287502144,391.08866903843705,0.5616934365278016,0.4345429655982634,6.236375255549433,176.137386785756,0.0069293058394993695,0.1957082075397289,255.88023406528544,283.6130279120965,0.28431137118365046,0.31512558656899614
DemoMS,1771278054,35manipulated3.jpg,1771278126.077962,499.6357408484904,391.0667919826783,0.5551508231649893,0.43451865775853143,-60.03434123912655,208.88978813885387,-0.0667048235990295,0.23209976459872653,219.80069980468193,299.9782900607661,0.24422299978297993,0.333309211178629
DemoMS,1771278054,35manipulated3.jpg,1771278126.275599,462.90610624826024,386.87469240378914,0.5143401180536225,0.42986076933754347,-60.96716530379206,212.7330593523534,-0.06774129478199117,0.23637006594705934,200.9694704722341,299.80387587807127,0.22329941163581565,0.3331154176423014
DemoMS,1771278054,35manipulated3.jpg,1771278126.473821,482.03016618042614,411.14139591867706,0.5355890735338068,0.4568237732429745,-31.779096904817266,190.85985278594808,-0.035310107672019184,0.21206650309549788,225.12553463780444,301.00062435231257,0.25013948293089383,0.3344451381692362
DemoMS,1771278054,35manipulated3.jpg,1771278126.672575,480.40964166752053,406.17575279533617,0.5337884907416894,0.451306391994818,-42.23609325498808,184.21860614634625,-0.046928992505542305,0.20468734016260695,219.08677420626623,295.1971794708412,0.24342974911807358,0.3279968660787125
DemoMS,1771278054,35manipulated3.jpg,1771278126.869291,476.36775710714994,398.5754407261811,0.5292975078968333,0.4428616008068679,-23.520154690070626,155.86074637184038,-0.026133505211189584,0.17317860707982263,226.42380120853966,277.21809354901075,0.2515820013428218,0.3080201039433453
DemoMS,1771278054,35manipulated3.jpg,1771278126.969281,491.34344507198,415.9610603415713,0.5459371611910889,0.4621789559350792,-16.64072480704624,157.95109354190436,-0.018489694230051378,0.17550121504656038,237.35136013246688,286.9560769417378,0.26372373348051875,0.3188400854908198
DemoMS,1771278054,35manipulated3.jpg,1771278127.067926,489.6642871961816,415.5847432166122,0.5440714302179795,0.4617608257962358,-12.53200823598388,157.24897965267837,-0.013924453595537645,0.17472108850297596,238.56613948009885,286.4168614346453,0.26507348831122096,0.3182409571496059
DemoMS,1771278054,35manipulated3.jpg,1771278127.167609,490.6598740509327,409.91537035205874,0.5451776378343697,0.4554615226133986,-12.97183144935559,153.58633341187442,-0.014413146054839546,0.17065148156874935,238.84402130078854,281.7508518819666,0.26538224588976506,0.313056502091074
DemoMS,1771278054,35manipulated3.jpg,1771278127.266143,493.37198407533117,417.4293335741961,0.5481910934170346,0.4638103706379957,0.8468278914662051,136.03590852782827,0.0009409198794068945,0.15115100947536475,247.1094059833987,276.7326210510122,0.2745660066482208,0.3074806900566802
DemoMS,1771278054,35manipulated3.jpg,1771278127.397563,509.77172922091506,418.2094977227416,0.5664130324676834,0.46467721969193515,28.813603554445876,126.70298581755696,0.03201511506049542,0.14078109535284108,269.29266638768047,272.4562417701493,0.2992140737640894,0.3027291575223881
DemoMS,1771278054,92.jpg,1771278128.7836869,477.50516871830564,290.7931224024255,0.5305612985758952,0.32310346933602835,39.49158371554881,129.7282815421779,0.0438795374617209,0.14414253504686433,258.4983762169272,210.26070197230172,0.28722041801880804,0.23362300219144636
DemoMS,1771278054,92.jpg,1771278128.981743,491.39264624640873,284.66400321744936,0.5459918291626764,0.31629333690827705,118.59743240232388,166.9733004843622,0.13177492489147097,0.1855258894270691,304.9950393243663,225.81865185090578,0.33888337702707366,0.2509096131676731
DemoMS,1771278054,92.jpg,1771278129.179496,544.4850640028023,307.6257736826101,0.6049834044475582,0.3418064152029001,140.91257291732313,190.7347362455655,0.15656952546369238,0.211927484717295,342.69881846006274,249.1802549640878,0.3807764649556253,0.27686694996009753
DemoMS,1771278054,92.jpg,1771278129.375333,545.2985871090302,302.34458443597737,0.6058873190100336,0.33593842715108596,141.24134851022723,188.6307863834138,0.15693483167803024,0.20958976264823756,343.2699678096287,245.4876854096956,0.3814110753440319,0.27276409489966175
DemoMS,1771278054,92.jpg,1771278129.575537,579.5932473574896,310.4805333825277,0.6439924970638774,0.34497837042503077,163.6125835903506,189.26741066530508,0.181791759544834,0.2102971229614501,371.6029154739201,249.8739720239164,0.4128921283043557,0.27763774669324043
DemoMS,1771278054,92.jpg,1771278129.7736,589.7304872452219,322.1899749128838,0.6552560969391354,0.3579888610143154,162.77583447065376,192.99049640567523,0.1808620383007264,0.2144338848951947,376.2531608579378,257.59023565927953,0.4180590676199309,0.286211372954755
